factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste
incineration_facility,葛巻町清掃センター,"[141.436569, 40.039818]",岩手県葛巻町,葛巻町(岩手県),1058,,無し
incineration_facility,軽米地区クリーンセンター,"[141.460327, 40.326687]",岩手県九戸郡軽米町,二戸地区広域行政事務組合(岩手県),0,休止,無し
incineration_facility,二戸地区クリーンセンター,"[141.30481, 40.271206]",岩手県二戸郡,二戸地区広域行政事務組合(岩手県),12966,,無し
incineration_facility,久慈地区ごみ焼却場,"[141.77565, 40.190449]",岩手県久慈市,久慈広域連合(岩手県),16081,,無し
incineration_facility,一関清掃センターごみ焼却施設,"[141.126648, 38.934711]",岩手県一関市,一関地区広域行政組合(岩手県),22105,,無し
incineration_facility,滝沢清掃センター,"[141.170654, 38.900661]",岩手県一関市滝沢清水尻,滝沢・雫石環境組合(岩手県),23273,,有り
incineration_facility,雫石清掃センター,"[140.975739, 39.696255]",岩手県岩手郡雫石町,滝沢・雫石環境組合(岩手県),0,休止,無し
incineration_facility,塩竈市清掃工場,"[141.008209, 38.331158]",宮城県塩竈市清水沢,塩竈市(宮城県),20189,,無し
incineration_facility,気仙沼市ごみ焼却場,"[141.570068, 38.90807]",宮城県気仙沼市,気仙沼市(宮城県),17237,,無し
incineration_facility,登米市環境事業所クリーンセンター（新）,"[141.187683, 38.691895]",宮城県登米市,登米市(宮城県),19600,,無し
incineration_facility,栗原市クリーンセンター可燃ごみ処理施設,"[141.021271, 38.730076]",宮城県栗原市,栗原市(宮城県),16681,,無し
incineration_facility,亘理清掃センター,"[140.86792, 38.044262]",宮城県亘理郡,亘理名取共立衛生処理組合(宮城県),0,休止,無し
incineration_facility,岩沼東部環境センター,"[140.870193, 38.104275]",宮城県岩沼市,亘理名取共立衛生処理組合(宮城県),46721,,無し
incineration_facility,石巻広域クリーンセンター,"[141.302734, 38.43425]",宮城県石巻市,石巻地区広域行政事務組合(宮城県),57734,,有り
incineration_facility,秋田県県北地区広域汚泥資源化施設,"[140.102386, 39.718624]",秋田県,秋田県(秋田県),6940,,有り
incineration_facility,秋田市総合環境センター溶融施設,"[140.103516, 39.719959]",秋田県秋田市,秋田市(秋田県),98176.84,,無し
incineration_facility,本荘清掃センター焼却施設,"[140.046494, 39.390785]",秋田県由利本荘市本荘,由利本荘市(秋田県),22923,,無し
incineration_facility,潟上市クリーンセンター,"[140.013046, 39.857227]",秋田県潟上市,潟上市(秋田県),9953,,無し
incineration_facility,北秋田市クリーンリサイクルセンター,"[140.370712, 40.226074]",秋田県北秋田市,北秋田市(秋田県),10945,,無し
incineration_facility,にかほ市環境プラザ,"[139.907806, 39.203003]",秋田県にかほ市,にかほ市(秋田県),7132,,無し
incineration_facility,能代山本広域市町村圏組合南部清掃工場,"[140.027084, 40.211853]",秋田県能代市,能代山本広域市町村圏組合(秋田県),23109,,無し
incineration_facility,鹿角ごみ処理場　焼却場,"[140.788544, 40.215794]",秋田県鹿角郡,鹿角広域行政組合(秋田県),11819,,無し
incineration_facility,鶴岡市ごみ焼却施設,"[139.826675, 38.727219]",山形県鶴岡市,鶴岡市(山形県),38774,,無し
incineration_facility,東根市外二市一町共立衛生処理組合ごみ焼却処理施設,"[140.391129, 38.431381]",山形県東根市,東根市外二市一町共立衛生処理組合(山形県),40244,,無し
incineration_facility,酒田地区広域行政組合ごみ焼却施設,"[139.836594, 38.914841]",山形県酒田市,酒田地区広域行政組合(山形県),43914,,無し
incineration_facility,尾花沢市大石田町環境衛生事業組合ごみ処理施設,"[140.406845, 38.601078]",山形県尾花沢市,尾花沢市大石田町環境衛生事業組合(山形県),5543,,無し
incineration_facility,郡山市富久山クリーンセンター,"[140.367905, 37.434044]",福島県郡山市富久山町八山田,郡山市(福島県),74129.57,,有り
incineration_facility,郡山市河内クリーンセンター,"[140.359741, 37.400555]",福島県郡山市,郡山市(福島県),61939,,有り
incineration_facility,須賀川地方衛生センターごみ処理施設,"[140.372574, 37.286934]",福島県須賀川市,須賀川地方保健環境組合(福島県),28318,,無し
incineration_facility,田村西部環境センター,"[140.576324, 37.440639]",福島県田村郡,田村広域行政組合(福島県),11923,,無し
incineration_facility,田村東部環境センター,"[140.576324, 37.440639]",福島県田村郡,田村広域行政組合(福島県),5205,,無し
incineration_facility,田村西部環境センター,"[140.576324, 37.440639]",福島県田村郡,田村広域行政組合(福島県),0,休止,無し
incineration_facility,光陽クリーンセンター,"[140.931396, 37.83514]",福島県相馬市光陽,相馬方部衛生組合(福島県),12567,,無し
incineration_facility,水戸市清掃工場（ごみ焼却施設）,"[140.471588, 36.365852]",茨城県水戸市,水戸市(茨城県),89888,,無し
incineration_facility,日立市清掃センター,"[140.65062, 36.599152]",茨城県日立市,日立市(茨城県),54592,,無し
incineration_facility,土浦市清掃センター,"[140.204193, 36.078354]",茨城県土浦市,土浦市(茨城県),38253,,無し
incineration_facility,笠間市環境センター,"[140.30426, 36.345196]",茨城県笠間市,笠間市(茨城県),16227,,無し
incineration_facility,牛久クリーンセンター,"[140.149597, 35.979355]",茨城県牛久市,牛久市(茨城県),29829,,無し
incineration_facility,潮来クリーンセンター,"[140.555405, 35.947117]",茨城県潮来市,潮来市(茨城県),7904,,無し
incineration_facility,行方市環境美化センターごみ焼却施設,"[140.489014, 35.990482]",茨城県行方市,行方市(茨城県),9033,,無し
incineration_facility,鉾田クリーンセンター,"[140.516403, 36.158607]",茨城県鉾田市,鉾田市(茨城県),8044,,無し
incineration_facility,城里町環境センター,"[140.376328, 36.47924]",茨城県城里町,城里町(茨城県),0,廃止,無し
incineration_facility,城里町環境センター,"[140.376328, 36.47924]",茨城県城里町,城里町(茨城県),5038,,無し
incineration_facility,大子町環境センター,"[140.355331, 36.768127]",茨城県久慈郡大子町,大子町(茨城県),4799,,無し
incineration_facility,阿見町霞クリーンセンター,"[140.215012, 36.03083]",茨城県阿見町,阿見町(茨城県),15417,,無し
incineration_facility,大洗、鉾田、水戸環境組合クリーンセンター,"[140.574875, 36.313343]",茨城県大洗,大洗、鉾田、水戸環境組合(茨城県),10606,,無し
incineration_facility,江戸崎地方衛生土木組合環境センター,"[140.318985, 35.960327]",茨城県稲敷市江戸崎,江戸崎地方衛生土木組合(茨城県),20188,,無し
incineration_facility,筑西広域市町村圏事務組合環境センター,"[139.979401, 36.305267]",茨城県筑西市,筑西広域市町村圏事務組合(茨城県),61049,,無し
incineration_facility,常総環境センターごみ焼却施設,"[139.993683, 36.023487]",茨城県常総市,常総地方広域市町村圏事務組合(茨城県),67600,,無し
incineration_facility,ひたちなか・東海クリーンセンター,"[140.534729, 36.39669]",茨城県ひたちなか市,ひたちなか・東海広域事務組合(茨城県),58244,,無し
incineration_facility,宇都宮市南清掃センター,"[139.863419, 36.563904]",栃木県宇都宮市南一の沢町,宇都宮市(栃木県),0,廃止,無し
incineration_facility,宇都宮市クリーンセンター　下田原,"[139.882599, 36.555115]",栃木県宇都宮市,宇都宮市(栃木県),51596,,無し
incineration_facility,足利市南部クリーンセンター,"[139.422699, 36.321087]",栃木県足利市南大町,足利市(栃木県),47928,,有り
incineration_facility,佐野市みかもクリーンセンター,"[139.578415, 36.314484]",栃木県佐野市,佐野市(栃木県),24482,,無し
incineration_facility,日光市クリーンセンター,"[139.697617, 36.720013]",栃木県日光市,日光市(栃木県),27219,,無し
incineration_facility,那須塩原クリーンセンター,"[140.046127, 36.961666]",栃木県那須塩原市,那須塩原市(栃木県),34871,,無し
incineration_facility,壬生町清掃センター焼却施設,"[139.814667, 36.442177]",栃木県下都賀郡壬生町,壬生町(栃木県),8894,,無し
incineration_facility,前橋市亀泉清掃工場,"[139.125015, 36.400871]",群馬県前橋市亀泉町,前橋市(群馬県),0,休止,無し
incineration_facility,前橋市六供清掃工場,"[139.075806, 36.36874]",群馬県前橋市六供町,前橋市(群馬県),89239,,無し
incineration_facility,前橋市大胡クリーンセンター,"[139.159668, 36.410831]",群馬県前橋市大胡町,前橋市(群馬県),0,休止,無し
incineration_facility,桐生市清掃センターごみ焼却施設,"[139.325089, 36.40662]",群馬県桐生市清瀬町,桐生市(群馬県),62849,,無し
incineration_facility,伊勢崎市清掃リサイクルセンター21,"[139.196671, 36.311386]",群馬県伊勢崎市,伊勢崎市(群馬県),58712,,無し
