name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
防府市一般廃棄物最終処分場,"[131.562775, 34.051945]",防府市(山口県),24,山間,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,316000,埋立中,山口県防府市
岩国市三角町不燃物処理場,"[132.231766, 34.139103]",岩国市(山口県),67,平地,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,61000,埋立中,山口県岩国市三角町
小野田市最終埋立処分場,"[131.172302, 33.957695]",小野田市(山口県),0,水面,不燃ごみ・その他・粗大ごみ・焼却残渣,60000,埋立前,山口県山陽小野田市小野田
小野田市最終埋立処分場,"[131.172302, 33.957695]",小野田市(山口県),100,水面,不燃ごみ・その他・粗大ごみ・焼却残渣,54400,埋立中,山口県山陽小野田市小野田
柳井市不燃物処理場,"[132.101669, 33.96389]",柳井市(山口県),47,海面,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,166087,埋立中,山口県柳井市
美祢市一般廃棄物最終処分場,"[131.205826, 34.166668]",美祢市(山口県),6,山間,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査,22000,埋立中,山口県美祢市
美祢市不燃物処理場,"[131.205826, 34.166668]",美祢市(山口県),100,山間,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,46500,埋立終了,山口県美祢市
由宇町不燃物処理場,"[132.176926, 34.035919]",由宇町(山口県),67,山間,不燃ごみ・直接搬入ごみ,14968,埋立中,山口県岩国市由宇町
玖珂町不燃物処理場,"[132.092773, 34.100464]",玖珂町(山口県),39,山間,不燃ごみ,9065,埋立中,山口県岩国市玖珂町
秋穂町青江廃棄物埋立処分場,"[132.253479, 33.882141]",秋穂町(山口県),99,水面,不燃ごみ・直接搬入ごみ・粗大ごみ,225505,埋立中,山口県周防大島町秋
小郡町鍛冶畑不燃物埋立処分場,"[132.110703, 33.884216]",小郡町(山口県),20,山間,不燃ごみ,66000,埋立中,山口県平生町小郡
阿知須町岡山最終処分場,"[131.343506, 34.016357]",阿知須町(山口県),85,平地,不燃ごみ,3230,埋立中,山口県山口市阿知須
楠町一般廃棄物最終処分場,"[132.20459, 34.156555]",楠町(山口県),96,山間,破砕ごみ・中間処理残査・焼却残渣,11371,埋立中,山口県岩国市楠町一丁目
豊田町不燃物処理場,"[131.056747, 34.193085]",豊田町(山口県),10,山間,不燃ごみ,15000,埋立中,山口県下関市豊田町
豊北町角島不燃物処理場,"[130.859711, 34.354969]",豊北町(山口県),77,山間,不燃ごみ・焼却残渣,1900,埋立中,山口県下関市豊北町角島
