上磯町一般廃棄物最終処分場
第二小平方埋立処分地
第一小平方埋立処分地
栃尾市比礼不燃物埋立地
両津市赤玉不燃物埋立地
両津市秋津不燃物埋立地
横越町一般廃棄物最終処分場
亀田町一般廃棄物最終処分場
山古志村種芋原ゴミ処理場
山古志村東竹沢ゴミ処理場
安塚町一般廃棄物最終処分場（中船処分場）
安塚町一般廃棄物最終処分場（戸沢処分場）
松代町危険物処理場
柿崎町車地最終処分場
吉川町一般廃棄物最終処分場
中郷村一般廃棄物最終処分場
板倉町玄藤寺処理場
清里村下芝石粗大ゴミ捨場
真野町処分場
三島郡清掃センター組合最終処分場
新潟県中央衛生センター組合吉田南最終処分場（第１期分）
新潟県中央衛生センター組合吉田南最終処分場（第２期分）
新潟県中央衛生センター組合クリーンセンター舘野
豊栄郷清掃施設処理組合一般廃棄物最終処分場江楓園
荒川郷衛生一部事務組合最終処分場
阿賀北広域組合最終処分場
南魚沼郡広域連合環境衛生センター（桝形山処分場）
南魚沼郡広域連合環境衛生センター（宮最終処分場）
福岡町一般廃棄物最終処分地
新川広域圏事務組合新川一般廃棄物最終処分場
新川広域圏事務組合東部清掃センター埋立地
新川広域圏事務組合宮沢清掃センター一般廃棄物最終処分場
新川広域圏事務組合西部清掃センター埋立地
グリーン・シティ山中
富来町不燃物埋立場
能都町廃棄物最終処分場
能都町不燃物処理場
内浦町福光最終処分場
河北郡広域事務組合河北郡灰埋立場
河北郡広域事務組合最終処分場
能美郡広域事務組合能美郡美化センター
能美郡広域事務組合能美郡美化センター（新処分場）
羽咋郡市広域圏事務組合第２事業所不燃物処理場
松任石川広域事務組合鶴来清掃センター
松任石川広域事務組合鶴来清掃センター
和泉村桑島埋立地
名田庄村環境クリーンセンター
大飯町えこあいらんど
大飯町不燃物処理場
丸子町不燃物処理場
丸子町腰越深山原山残灰処分場
長門町一般廃棄物最終処分場
東部町一般廃棄物最終処分場
武石村廃棄物最終処分場
高遠町三子沢一般廃棄物最終処分場
箕輪町八乙女危険物処理場
長谷村溝口処理場
松川町一般廃棄物処理場
旧木曽南部地区環境衛生組合埋立地
本城村焼却残渣最終処分場
波田町不燃物処理場
梓川村廃棄物埋立地
三郷村一般廃棄物最終処分場
三郷村最終処分場
大岡村聖不燃物処理場
信州新町不燃物処理場
三水村危険物処理場
川西保健衛生施設組合川西清掃センター
川西保健衛生施設組合川西粗大ごみ処分場
裾花衛生センター組合残灰処分場
伊北環境行政組合クリーンセンター八乙女最終処分場
伊南行政組合小平不燃物処理場
伊南行政組合大角不燃物処理場
伊南行政組合与田切不燃物処理場
南佐久環境衛生組合八郡最終処分場
北部衛生施設組合残灰処分場
岳北広域行政組合岳北クリーンセンター
南諏衛生施設組合南諏衛生センター
南諏衛生施設組合南諏衛生センター
平田町一般廃棄物最終処分場
上石津町須谷最終処分場
神戸町一般廃棄物末守最終処分場
墨俣町最終処分場
久瀬村不燃物最終処分場
坂内村一般廃棄物最終処分場
穂積町十九条埋立地
巣南町居倉不燃物処理場
真正町ごみ処理場
糸貫町不燃物処理場
根尾村ごみ処理場
白鳥町最終処分場
高鷲村一般廃棄物最終処分場（安定型）
高鷲村一般廃棄物最終処分場（管理型）
丹生川村営ごみ埋立場地
荘川村一般廃棄物最終処分場（不燃ごみ埋立）
河合村リサイクルセンター最終処分場
可茂衛生施設利用組合緑ヶ丘クリーンセンター最終処分場
可茂衛生施設利用組合ささゆりクリーンパーク最終処分場
南濃衛生施設利用事務組合処分場
恵南福祉保健衛生施設組合恵南最終処分場
南大野地域行政事務組合最終処分場
荘白川衛生施設利用組合保木脇埋立地
西濃環境整備組合西濃環境保全センター
北吉城地区事務組合松ヶ瀬処分場
北吉城地区事務組合笠谷処分場
西南濃粗大廃棄物処理組合西南濃粗大廃棄物処理センター
山県郡環境衛生施設組合環境保全センター
山県郡環境衛生施設組合環境保全センター
益田広域連合一般廃棄物最終処分場
賀茂村楠河原最終処分場
賀茂村深田最終処分場
韮山町一般廃棄物最終処分場
川根町残灰処理場
本川根町埋立地
はるのやまびこドーム
竜洋環境クリーンセンター
竜洋町南天竜ごみ処理場
豊田町高見丘不燃物処理場
龍山村最終処分場
佐久間町久頭合最終処分場
舞阪町第二吹上廃棄物最終処分場
舞阪町吹上廃棄物最終処分場
新居町一般廃棄物最終処分場
菊川町及び小笠町衛生施設組合最終処分場（棚草最終処分場）
菊川町及び小笠町衛生施設組合一般廃棄物最終処分場
相良町外二町広域施設組合焼却灰処分場
相良町外二町広域施設組合焼却灰処分場
相良町外二町広域施設組合一般廃棄物処分場
庵原郡環境衛生組合一般廃棄物最終処分場
田方南部広域行政組合最終処分場
引佐郡広域施設組合ごみ処理センター
引佐郡広域施設組合一般廃棄物最終処分場
七宝町一般廃棄物最終処分場（安松）
十四山村一般廃棄物（ガレキ）埋立処分場
十四山村一般廃棄物（家庭ごみ）埋立処分場
立田村雀ヶ森最終処分場
八開村ごみ処理場（鵜多須）
幡豆町一般廃棄物最終処分場（鳥羽）
幡豆町不燃物処分場（小野ヶ谷）
額田町一般廃棄物埋立処理場
鳳来町一般廃棄物最終処分場
鳳来町一般廃棄物管理型埋立処分地
作手村一般廃棄物最終処分場
一宮町一般廃棄物最終処分場
御津町危険物捨場
御津町一般廃棄物最終処分場
渥美町一般廃棄物最終処分場
東部知多衛生組合洲崎最終処分場
東部知多衛生組合葭野最終処分場
尾張東部衛生組合一般廃棄物最終処分場
海部津島環境事務組合八開処分場
西春日井郡東部衛生組合藤岡最終処分場
尾三衛生組合埋立処分場（折戸）
尾三衛生組合埋立処分場（三本木）
北勢町粗大ごみ処理場
員弁町一般廃棄物最終処分場
大安町一般廃棄物処分場（安定型）
藤原町粗大ごみ処理場
楠町衛生センターごみ処理施設
関町不燃物投棄場
飯南町不燃物投棄場
仮称明和町環境センター
二見町不燃物投棄場
小俣町廃棄物投棄場（一般廃棄物処分場）
小俣町廃棄物投棄場
南勢町一般廃棄物最終処分場
南島町クリーンセンターなんとう
紀勢町廃棄物投棄場
御薗村廃棄物投棄場
浜島町不燃物処理場
浜島町一般廃棄物最終処分場
大王町清掃センター
阿児町一般廃棄物最終処分場
磯部町清掃センター
紀伊長島町不燃物処理場
海山町不燃物処理場
海山町ごみ処理焼却場
白銀環境清掃センター
甲西町不燃物処理場
水口町不燃物処理場
甲賀町清掃センター
甲南町不燃物処理場
信楽町不燃廃棄物処理施設（A埋立処分地）
安土町最終処分場
蒲生町一般廃棄物最終処分場
五個荘町一般廃棄物最終処分場
余呉町一般廃棄物最終処分場
西浅井町不燃物処理場
マキノ町百瀬川不燃物処理場
今津町環境クリーンセンター
朽木村一般廃棄物処理センター
安曇川町埋立処分地
高島町一般廃棄物最終処分場
湖北広域行政事務センタークリーンプラント
湖北広域行政事務センター一般廃棄物最終処分場（杉沢）
八日市衛生プラント組合最終処分場
中部清掃組合能登川一般廃棄物最終処分場
中部清掃組合安土一般廃棄物最終処分場
中部清掃組合粗大ごみ処理場埋立地
中部清掃組合灰埋立地
愛知郡広域行政組合清掃センター
愛知郡広域行政組合ガレキ処分場
夜久野町不燃物処理場
野田川町一般廃棄物最終処分場
峰山町不燃物処理場
城南衛生管理組合グリーンヒル三郷山
城南衛生管理組合奥山埋立センター埋立処分地
竹野郡塵芥処理組合丹後半島清掃センター埋立処分地
泉北環境設備施設組合松尾寺山最終処分場
神戸市布施畑環境センター
神戸市淡河環境センター
龍野市一般廃棄物最終処分場
篠山市清掃センター不燃物処理施設
吉川町最終処分場
家島町家島地区最終処分場
家島町環境美化センター（埋立最終処分場）
香寺町ごみ処理場
新宮町不燃物埋立処分場
安富町一般廃棄物処理施設
氷上町リサイクルセンター
氷上町リサイクルセンター
青垣町ごみ処理施設九の尾苑（埋立処分地施設）
山南町不燃物投棄所（草部）
山南町不燃物投棄所（太田）
市島町埋立処分地施設
一宮町埋立最終処分場
第２一般廃棄物最終処分場
第１一般廃棄物最終処分場
矢田川流域衛生一部事務組合矢田川レインボー
美西衛生施設一部事務組合糸城最終処分場
くれさか環境事務組合くれさかクリーンセンター
山辺広域一般廃棄物第１処分場
下津町最終処分場
野上町塵埃処理場
美里町塵芥処理場
金屋町ごみ処理場
貴志川桃山清掃施設組合最終処分場
南部町南部川村環境衛生事務組合塵芥処理場埋立地
鳥取県東部広域行政管理組合鳥取県東部環境クリーンセンター
鳥取県東部広域行政管理組合末恒不燃物処分場
鳥取中部ふるさと広域連合東伯最終処分場
平田市不燃物処理センター
鹿島町一般廃棄物最終処分場
島根町一般廃棄物最終処分場
美保関町不燃物処理場
東出雲町高尾谷不燃物処理場
東出雲町姫津クリーンセンター
玉湯町不燃物処理場
宍道町不燃物処理場
八束町不燃物処理場
広瀬町一般廃棄物最終処分場
伯太町一般廃棄物最終処分場
大東町農産廃棄物処理場
加茂町不燃物処理場
木次町下宇山不燃物処理場
三刀屋町不燃性廃棄物処理施設
吉田村最終処分場
赤来町不燃物処分場
斐川町斐川クリーンステーション
佐田町クリーンセンター（佐田町一般廃棄物最終処分場）
温泉津町不燃物処理場（旧）
温泉津町一般廃棄物最終処分場
仁摩町一般廃棄物最終処分場
弥栄村不燃物処理場
三隅町一般廃棄物最終処分場
匹見町不燃物処理場
海土町一般廃棄物最終処分場
宍道町斐川町環境衛生組合最終処分場
仁多町横田町広域事務組合不燃物処理場
仁多町横田町広域事務組合埋立処分場
島後町村組合ごみ処理場埋立処分地施設
島後町村組合一般廃棄物最終処分場
六日市町外２ヶ町村不燃物処理組合幸地埋立場
飯石郡町村事務組合焼却残渣・不燃物埋立最終処分場
邑智郡町村総合事務組合笹畑クリーンセンター埋立処分地施設
瀬戸町残灰埋立地
赤坂町多賀処分地
日生町一般廃棄物最終処分場
清音村大谷廃棄物捨場
船穂町不燃物処分場
金光町一般廃棄物埋立処分地施設
金光町一般廃棄物最終
鴨方町不燃物処理センター
真備町不燃物投入場
久世町ガレキ処分場
加茂町最終処分場
邑久牛窓清掃施設組合一般廃棄物最終処分場
建部町久米南町衛生施設組合大田最終処分場
英北衛生施設組合埋立処分地施設
真庭郡北部環境施設組合最終処分場
御津・加茂川環境施設組合最終処分場
まにわ中央環境施設組合一般廃棄物最終処分場
因島市一般廃棄物最終処分場
大野町一般廃棄物最終処分場
佐伯町一般廃棄物最終処分場
瀬戸田町埋立処分地施設
甲世衛生組合最終処分場
双三清掃施設組合一般廃棄物下荒瀬最終処分場
江能広域事務組合江能広域環境センター（埋立１期）
江能広域事務組合江能広域環境センター（埋立２期）
深品クリーンセンター一般廃棄物最終処分場
新南陽市不燃物処分場
久賀町不燃物処理場
大島町不燃物最終処分場
東和町瓦処分場
東和町不燃物埋立処分場
橘町蒲ノ浦一般廃棄物最終処分場
和木町一般廃棄物最終処分場
周東町一般廃棄物埋立処分場
熊毛町営不燃物埋立処分場
鹿野町中木屋の谷ごみ埋立処分地施設
山陽町清掃工場
美東町不燃物最終処分場
川上村不燃物処理場
田万川町一般廃棄物最終処分場
田万川町不燃物埋立場
阿東町一般廃棄物最終処分場
むつみ村長者ヶ原最終処分場
須佐町一般廃棄物最終処分場
旭村不燃物埋立処分場
福栄村千枚畑ごみ処理場
熊南環境衛生組合資源活用センター
玖北環境衛生施設組合玖北不燃物処理場
クリーンセンター響最終処分場
石井町一般廃棄物最終処分場
石井町一般廃棄物最終処分場（下浦）
北島町最終処分場
市場町ヤカイ地区一般廃棄物最終処分場
鴨島町宮ノ南埋立地
山川町最終処分場
海部郡衛生処理事務組合第一灰処理場
丹生谷行政組合最終処分場
三好郡行政組合清掃センター最終処分場
三好郡行政組合清掃センター最終処分場
内海町大手城塵芥処分地
内海町徳本地区埋立処分地
牟礼町廃棄物処理場
香川町一般廃棄物埋立処分地
飯山町不燃物埋立地
大野原町一般廃棄物最終処分場
豊浜町大坪地区ごみ最終処分場
綾南環境衛生組合一般廃棄物埋立処分場
大川町寒川町清掃組合筒野埋立地
中讃広域行政事務組合中讃地区広域行政圏不燃物に係る最終処分場
中讃広域行政事務組合エコランド林ヶ谷
川之江市東部臨海土地造成地
東予市一般廃棄物最終処分場
小松町不燃物処分場
丹原町一般廃棄物最終処分場
波方町環境美化センター
菊間町衛生センター
吉海町不燃物処理場
伯方町一般及び産業廃棄物最終処分場
弓削町大谷不燃物処理場
弓削町佐島不燃物処理場
上浦町不燃物最終処分場
保内町一般廃棄物最終処分場
三崎町不燃物処理場
野村町不燃物処理場
吉田町蛇堀不燃物最終処分場
広見町清水不燃物処理場
日吉村父野川不燃物処理場
西海町最終処分場
大三島地区衛生事務組合最終処分場
南宇和衛生事務組合環境衛生センター最終処分場
本川村戸中処理場
伊野町八田廃棄物処分場
春野町一般廃棄物最終処分場
東津野村平野粗大ゴミ処理場
葉山村最終処分場
高吾北広域町村事務組合楠神最終処分地
幡多中央環境施設組合上ノ土居最終処分場
芸東衛生組合室津埋立地
芸東衛生組合生見埋立地
芸東衛生組合中峯埋立地
嶺北広域一般廃棄物最終処分場
福間町不燃物処理場
瀬高町外二ヶ町衛生組合埋立処分地施設
田川郡東部環境衛生施設組合田川郡東部じん芥処理センター最終処分場
稲築町ほか3か町衛生施設組合リサイクルセンター
春日大野城衛生施設組合春日大野城最終処分場
北茂安町塵芥処分場
厳木町危険物捨場
相知町一般廃棄物処理施設（埋立処分場）
西有田町不燃物捨場
杵藤地区広域市町村圏組合杵藤クリーンセンター埋立処分地施設
脊振共同塵芥処理組合脊振広域クリーンセンター
福江市一般廃棄物最終処分場
野母崎町矢戸埋立処分場
野母崎町野母不燃物埋立処分場
野母崎町高浜不燃物埋立処分場
多良見町廃棄物最終処分場
多良見町廃棄物最終処分場
西彼町クリーンセンター
崎戸町菅峰埋立地
大瀬戸町最終処分場
外海町下見揚ごみ処理場
小浜町一般廃棄物最終処分場
大島村しゃ断型最終処分場
高崎埋立場
志保良最終処分場
宇久町塵芥処理場
田平町ごみ処理場
福島町ごみ埋立地
江迎町不燃物処理場
鹿町町臼木最終処分場
富江町埋立地
三井楽町清掃センター
岐宿町ごみ処理施設
奈留町一般廃棄物最終処分場
若松町最終処分場
上五島町熊高最終処分場
上五島町しゃ断型処分場
新魚目町最終処分場
有川町一般廃棄物処理場（残土処理）
奈良尾町最終処分場
奈良尾町最終処分場
勝本町不燃物処理場
勝本町クリーン＆リサイクルセンター（灰タンク）
芦辺町不燃物埋立地
石田町焼却灰処分場
美津島町廃棄物処理場
東彼地区保健福祉組合東彼地区一般廃棄物埋立処分地施設
西彼中央衛生施設組合時津清掃工場
県央広域圏西部地区塵芥処理一部事務組合吾妻最終処分場
牛深市ごみ処理場埋立地
牛深市一般廃棄物最終処分場
牛深市し尿処理場埋立地
城南町塵芥処理場埋立地
矢部町外2ヵ町村衛生施設組合最終処分場
八代郡生活環境事務組合ごみ処理工場埋立処分地施設
湯布院町環境管理センター最終処分場
上浦町一般廃棄物最終処分場
別杵速見地域広域市町村圏事務組合藤ヶ谷清掃センター
東国東広域連合ごみ第１処理場
東国東広域連合東国東広域最終処分場
清武町横狩倉不燃物処理場
田野町後山不燃物投棄場
佐土原町一般廃棄物埋立処理場
高崎町原村危険物捨場
高岡町不燃物投棄場
東郷町羽坂不燃物処理場
南郷村横窪ごみ処理場
西臼杵郡衛生組合三郷衛生センター最終処分場
川内市クリーンセンター
川内市一般廃棄物最終処分場
串木野市串木野清掃センター
加世田市ごみ最終処分場
吉田町廃棄物処分場
桜島町一般廃棄物最終処分場
山川町柳ヶ谷ごみ処理場
頴娃町石垣ごみ処分場
開聞町田之崎塵芥処理場
笠沙町椎木最終処分場
市来町一般廃棄物最終処分場
吹上町赤仁田一般廃棄物最終処分場
入来町大内田最終処分場
東郷町塵芥処理場
鶴田町営ゴミ処理場
薩摩町危険物処理場
祁答院町最終処分場
里村尾橋川原粗大ごみ処分地
上甑村粗大ごみ処理場
下甑村瀬々野浦処分場
下甑村手打地区処分場
下甑村片野浦処分場
下甑村最終処分場
鹿島村吹切最終処分場
菱刈町一般廃棄物埋立最終処分場
加治木町一般廃棄物最終処分場
蒲生町不燃物処理場
溝辺町一般廃棄物最終処分場
横川町城山粗大ごみ処分場
栗野町一般廃棄物最終処分場
吉松町一般廃棄物最終処分場
吉松町廃棄物処理場
牧園町城山粗大ゴミ処分場
隼人町糸走不燃物最終処分場
大隅町一般廃棄物最終処分場
輝北町ごみ処分場
財部町一般廃棄物最終処分場
財部町上手法寺最終処分場
末吉町最終処分場
松山町ごみ処分場
内之浦町船木最終処分場
高山町鳥越ごみ処分場
吾平町ごみ処分場
大根占町ごみ処分場
根占町横別府不燃物処分場
田代町一般廃棄物（危険物）処理場
上屋久町ごみ処分場
屋久町ごみ処分場
薩南衛生処理組合南さつまクリーンセンター
姶良郡西部衛生処理組合西別府一般廃棄物最終処分場
大根田衛生管理組合最終処分場
上甑島衛生管理組合ごみ処理施設
大島地区衛生組合名瀬クリーンセンター最終処分場
国分地区衛生管理組合埋立最終処分場
沖永良部衛生管理組合沖永良部クリンセンター
北薩広域行政事務組合環境センター最終処分場
仲里村不燃物処理場
倉浜衛生施設組合最終処分場
宮古清掃施設組合一般廃棄物最終処分場
