name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste,resource_recovery,waste_for_processing,processing_method,facility_changes,industrial_waste_transport,reuse_and_repair_features
藤岡市清掃センター粗大ごみ破砕施設,"[139.074722, 36.25861]",群馬県藤岡市,藤岡市(群馬県),1702,385,無し,385,粗大ごみ・不燃ごみ,併用,,修理・展示・販売
奥利根アメニティパークリサイクルプラザ,"[138.903717, 37.108639]",新潟県南魚沼市奥,みなかみ町(群馬県),1491,774,無し,774,粗大ごみ・不燃ごみ・資源ごみ,併用,,譲渡
吾妻東部衛生センター粗大ごみ処理施設,"[140.112946, 36.081535]",茨城県つくば市吾妻,吾妻東部衛生施設組合(群馬県),902,665,無し,665,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
西吾妻環境衛生センタ-粗大ごみ・不燃ごみ処理施設,"[141.300903, 43.074455]",北海道札幌市西区,西吾妻環境衛生施設組合(群馬県),657,211,無し,211,粗大ごみ・不燃ごみ,併用,,機能なし
渋川地区広域圏清掃センター粗大ごみ処理施設,"[140.992157, 37.467037]",福島県双葉町渋川,渋川地区広域市町村圏振興整備組合(群馬県),2268,669,無し,669,粗大ごみ・不燃ごみ,併用,,機能なし
太田市外三町広域清掃組合リサイクルプラザ,"[139.375504, 36.291157]",群馬県太田市,太田市外三町広域清掃組合(群馬県),9221,5341,無し,5341,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,修理・展示・販売
さいたま市クリーンセンター大崎第二工場,"[139.645676, 35.861683]",埼玉県さいたま市,さいたま市(埼玉県),7004,1854,無し,1854,粗大ごみ・不燃ごみ,併用,,機能なし
さいたま市西部環境センター,"[139.579727, 35.925198]",埼玉県さいたま市西区,さいたま市(埼玉県),6139,991,無し,991,粗大ごみ・不燃ごみ,併用,,機能なし
さいたま市桜環境センター,"[139.610321, 35.856171]",埼玉県さいたま市桜区,さいたま市(埼玉県),6717,1802,無し,1802,粗大ごみ・不燃ごみ,併用,,機能なし
川口市戸塚環境センター,"[139.754181, 35.863064]",埼玉県川口市戸塚,川口市(埼玉県),5555.87,1138.22,無し,1138.22,粗大ごみ,破砕,,機能なし
行田市粗大ごみ処理場,"[139.455841, 36.138889]",埼玉県行田市,行田市(埼玉県),5225,411,無し,411,粗大ごみ・不燃ごみ・その他,破砕,,機能なし
所沢市東部クリーンセンターリサイクルプラザ不燃・粗大ごみ処理施設,"[139.423538, 35.812645]",埼玉県所沢市東狭山ケ丘,所沢市(埼玉県),6719,1327,無し,1327,粗大ごみ・不燃ごみ,破砕,,機能なし
飯能市クリーンセンター,"[139.327621, 35.855656]",埼玉県飯能市,飯能市(埼玉県),1317,0,無し,0,粗大ごみ・不燃ごみ・資源ごみ,破砕,,機能なし
加須クリーンセンター粗大ごみ処理施設,"[139.601944, 36.13139]",埼玉県加須市,加須市(埼玉県),2137,1272,無し,1272,粗大ごみ・不燃ごみ,破砕,,機能なし
春日部市クリーンセンター,"[139.752502, 35.975277]",埼玉県春日部市,春日部市(埼玉県),4042,985,無し,985,粗大ごみ・不燃ごみ,破砕,,機能なし
狭山市奥富環境センター(旧名称：狭山市第一環境センター),"[139.412231, 35.853054]",埼玉県狭山市,狭山市(埼玉県),4206,,無し,,粗大ごみ・不燃ごみ,併用,,修理・展示・販売・譲渡
羽生市粗大ごみ処理施設,"[139.548477, 36.172634]",埼玉県羽生市,羽生市(埼玉県),2537,425,無し,425,粗大ごみ・不燃ごみ,併用,,機能なし
上尾市西貝塚環境センター,"[139.554123, 35.937237]",埼玉県上尾市西貝塚,上尾市(埼玉県),1503.33,512.77,無し,512.77,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
入間市総合クリーンセンター,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),4374,728,無し,728,粗大ごみ・不燃ごみ,破砕,,機能なし
入間市清掃事業所,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),,,無し,,粗大ごみ・資源ごみ,圧縮,休止,機能なし
朝霞市粗大ごみ処理施設,"[139.593735, 35.797188]",埼玉県朝霞市,朝霞市(埼玉県),2787.42,1944.55,無し,1944.55,粗大ごみ・不燃ごみ,破砕,,機能なし
和光市清掃センター,"[139.605835, 35.781387]",埼玉県和光市,和光市(埼玉県),3637,2327.19,無し,2327.19,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
桶川市粗大ごみ処理施設,"[139.55838, 36.002766]",埼玉県桶川市,桶川市(埼玉県),739,167,無し,167,粗大ごみ・不燃ごみ,破砕,,機能なし
三郷市不燃物処理場,"[139.872284, 35.830151]",埼玉県三郷市,三郷市(埼玉県),886,357,無し,357,粗大ごみ・不燃ごみ・資源ごみ,破砕,,機能なし
