factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste,resource_recovery,waste_for_processing,processing_method,facility_changes,industrial_waste_transport,reuse_and_repair_features
bulky_waste,岩沼東部環境センター,"[140.870193, 38.104275]",宮城県岩沼市,亘理名取共立衛生処理組合(宮城県),2917,759,無し,759,粗大ごみ・資源ごみ,併用,,機能なし
bulky_waste,秋田市第2リサイクルプラザ,"[140.103516, 39.719959]",秋田県秋田市,秋田市(秋田県),587.09,389.55,無し,389.55,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,秋田市総合環境センター前処理破砕処理施設,"[140.103516, 39.719959]",秋田県秋田市,秋田市(秋田県),3396.96,,無し,,粗大ごみ・可燃ごみ,破砕,,機能なし
bulky_waste,大館市粗大ごみ処理場,"[140.565247, 40.271687]",秋田県大館市,大館市(秋田県),3313,135,無し,135,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,潟上市クリーンセンター粗大ごみ処理施設,"[140.013046, 39.857227]",秋田県潟上市,潟上市(秋田県),881,344,無し,344,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,北秋田市クリーンリサイクルセンター,"[140.370712, 40.226074]",秋田県北秋田市,北秋田市(秋田県),0,0,無し,0,不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,能代山本広域市町村圏組合北部粗大ごみ処理工場,"[140.027084, 40.211853]",秋田県能代市,能代山本広域市町村圏組合(秋田県),1207,,無し,,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,鹿角ごみ処理場　破砕処理場,"[140.788544, 40.215794]",秋田県鹿角郡,鹿角広域行政組合(秋田県),,,無し,,粗大ごみ・不燃ごみ・混合（未分別）ごみ・可燃ごみ・資源ごみ,破砕,新設（建設中）,機能なし
bulky_waste,東根市外二市一町共立衛生処理組合粗大ごみ処理施設,"[140.391129, 38.431381]",山形県東根市,東根市外二市一町共立衛生処理組合(山形県),2074,621,無し,621,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,東根市外二市一町共立衛生処理組合ごみ焼却前処理施設,"[140.391129, 38.431381]",山形県東根市,東根市外二市一町共立衛生処理組合(山形県),229,,無し,,可燃ごみ,破砕,,機能なし
bulky_waste,立谷川リサイクルセンター,"[140.38414, 38.312286]",山形県山形市立谷川,山形広域環境事務組合(山形県),3482,1198,無し,1198,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,酒田地区広域行政組合粗大ごみ処理施設,"[139.836594, 38.914841]",山形県酒田市,酒田地区広域行政組合(山形県),2271,274,無し,274,粗大ごみ,併用,,機能なし
bulky_waste,郡山市河内クリーンセンター,"[140.359741, 37.400555]",福島県郡山市,郡山市(福島県),2238,,無し,,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,郡山市富久山クリーンセンター,"[140.367905, 37.434044]",福島県郡山市富久山町八山田,郡山市(福島県),8036.85,6139.43,無し,6139.43,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,田村東部環境センター,"[140.576324, 37.440639]",福島県田村郡,田村広域行政組合(福島県),852,,無し,,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,水戸市清掃工場（リサイクルセンター）,"[140.471588, 36.365852]",茨城県水戸市,水戸市(茨城県),3788,889,無し,889,粗大ごみ・不燃ごみ,圧縮,,機能なし
