都道府県名,地方公共団体名,施設名称,年間処理量,施設の改廃,産業廃棄物の搬入の有無
山形県,鶴岡市,鶴岡市ごみ焼却施設,38774,,無し
山形県,東根市外二市一町共立衛生処理組合,東根市外二市一町共立衛生処理組合ごみ焼却処理施設,40244,,無し
山形県,山形広域環境事務組合,エネルギー回収施設(立谷川),42981,,無し
山形県,山形広域環境事務組合,エネルギー回収施設（川口）,38788,,無し
山形県,最上広域市町村圏事務組合,最上広域市町村圏事務組合エコプラザもがみ,18590,,無し
山形県,置賜広域行政事務組合,置賜広域行政事務組合千代田クリーンセンターごみ焼却施設,53282,,無し
山形県,西村山広域行政事務組合,西村山広域行政事務組合寒河江地区クリーンセンターごみ焼却処理施設,16715,,無し
山形県,酒田地区広域行政組合,酒田地区広域行政組合ごみ焼却施設,43914,,無し
山形県,尾花沢市大石田町環境衛生事業組合,尾花沢市大石田町環境衛生事業組合ごみ処理施設,5543,,無し
福島県,福島市,あらかわクリーンセンター,60587,,無し
福島県,福島市,あぶくまクリーンセンター,34409,,無し
福島県,郡山市,郡山市富久山クリーンセンター,74129.57,,有り
福島県,郡山市,郡山市河内クリーンセンター,61939,,有り
福島県,いわき市,南部清掃センター,79393.39,,無し
福島県,いわき市,北部清掃センター,27341,,無し
福島県,南相馬市,クリーン原町センター,21680,,無し
福島県,伊達地方衛生処理組合,伊達地方衛生処理組合清掃センターごみ焼却施設,36603,,無し
福島県,須賀川地方保健環境組合,須賀川地方衛生センターごみ処理施設,28318,,無し
福島県,会津若松地方広域市町村圏整備組合,環境センターごみ焼却処理施設,60923,,有り
福島県,東白衛生組合,東白衛生組合東白クリーンセンターごみ処理施設,9127,,無し
福島県,石川地方生活環境施設組合,石川地方ごみ焼却場,9678,,無し
福島県,田村広域行政組合,田村西部環境センター,11923,,無し
福島県,田村広域行政組合,田村東部環境センター,5205,,無し
福島県,田村広域行政組合,田村西部環境センター,0,休止,無し
福島県,相馬方部衛生組合,光陽クリーンセンター,12567,,無し
福島県,白河地方広域市町村圏整備組合,西白河地方クリーンセンター,36044,,無し
福島県,喜多方地方広域市町村圏組合,環境センター山都工場,15983,,無し
福島県,安達地方広域行政組合,もとみやクリーンセンター(焼却),24039,,無し
福島県,双葉地方広域市町村圏組合,双葉地方広域市町村圏組合北部衛生センター,6631,,無し
福島県,双葉地方広域市町村圏組合,双葉地方広域市町村圏組合南部衛生センター,0,廃止,無し
福島県,南会津地方環境衛生組合,東部クリーンセンター,4957,,無し
福島県,南会津地方環境衛生組合,西部クリーンセンター,2865,,無し
茨城県,水戸市,水戸市清掃工場（ごみ焼却施設）,89888,,無し
茨城県,日立市,日立市清掃センター,54592,,無し
茨城県,土浦市,土浦市清掃センター,38253,,無し
茨城県,古河市,古河クリーンセンター,14658,,無し
茨城県,常陸太田市,清掃センター,16357,,無し
茨城県,北茨城市,清掃センター,12889,,無し
茨城県,笠間市,笠間市環境センター,16227,,無し
茨城県,牛久市,牛久クリーンセンター,29829,,無し
茨城県,つくば市,焼却施設,74953,,無し
茨城県,潮来市,潮来クリーンセンター,7904,,無し
茨城県,行方市,行方市環境美化センターごみ焼却施設,9033,,無し
茨城県,鉾田市,鉾田クリーンセンター,8044,,無し
茨城県,城里町,城里町環境センター,0,廃止,無し
茨城県,城里町,城里町環境センター,5038,,無し
