都道府県名,地方公共団体名,施設名,埋め立て済み割合,埋立場所,処理対象廃棄物,全体容積(m3),処分場の現状
北海道,幌加内町,幌加内町一般廃棄物最終埋立処分場,0,平地,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,5941,埋立前
北海道,鷹栖町,鷹栖町一般廃棄物最終処分場,18,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,26500,埋立中
北海道,東神楽町,東神楽町忠栄ごみ埋立処分地,85,山間,不燃ごみ・直接搬入ごみ・粗大ごみ,66500,埋立中
北海道,東川町,東川町東９号最終処分場,69,平地,粗大ごみ,36259,埋立中
北海道,上富良野町,上富良野町クリーンセンター,5,山間,可燃ごみ・不燃ごみ・資源・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,56400,埋立中
北海道,中富良野町,中富良野町一般廃棄物処分場,62,山間,混合・直接搬入ごみ・粗大ごみ・焼却残渣,644000,埋立中
北海道,南富良野町,南富良野町幾寅埋立場,39,山間,粗大ごみ・焼却残渣,66108,埋立中
北海道,占冠村,占冠村最終処分場,5,山間,不燃ごみ・焼却残渣,45060,埋立中
北海道,和寒町,和寒町三和ごみ処理場,80,山間,混合・不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,47222,埋立中
北海道,剣淵町,剣淵町一般廃棄物最終処分場,1,山間,不燃ごみ・焼却残渣,23000,埋立中
北海道,朝日町,朝日町塵芥処理場,77,平地,不燃ごみ・直接搬入ごみ・焼却残渣,109500,埋立中
北海道,風連町,風連町一般廃棄物捨場,100,山間,不燃ごみ・直接搬入ごみ・焼却残渣,25190,埋立中
北海道,風連町,風連町一般廃棄物最終処分場,3,平地,不燃ごみ・焼却残渣,36000,埋立中
北海道,下川町,下川町廃棄物処理場,31,平地,不燃ごみ・焼却残渣,23600,埋立中
北海道,美深町,美深町一般廃棄物ごみ埋立処分場,68,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,85500,埋立中
北海道,音威子府村,音威子府村一般廃棄物最終処分場,97,平地,混合・直接搬入ごみ・粗大ごみ,3600,埋立中
北海道,中川町,中川町じん芥処理場,63,平地,混合・直接搬入ごみ・粗大ごみ,150000,埋立中
北海道,増毛町,増毛町一般廃棄物最終処分場,20,山間,混合・直接搬入ごみ・粗大ごみ・焼却残渣,31300,埋立中
北海道,小平町,小平町富岡塵芥処理場,71,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ,70000,埋立中
北海道,苫前町,苫前町じん芥捨場,92,山間,混合・粗大ごみ,74250,埋立中
北海道,羽幌町,羽幌町天売廃棄物最終処分場,10,平地,焼却残渣,1872,埋立終了
